,Player,PTS,AST,TRB,STL,BLK,PTS/G,AST/G,TRB/G,STL/G,BLK/G,Championships,new Championship Difficulty,Championship Difficulty,MVP,DPOY,FMVP,All NBA Teams,Rankings
0,Allen Iverson,0.8451791022557077,0.5766994300041658,-0.9736043031075201,1.398629674127136,-0.6205800327426271,1.1146290812214112,0.6963604782262063,-1.081612944486747,1.6600992005112538,-0.6493966251760215,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,0.11886432776254914,-0.25087260300212727,-0.45693676673168765,0.5047630225874973,-26.392980160888797
1,Anthony Davis,-0.7358152452212595,-1.0579095690058395,-0.3346869772905221,-0.18451781308740067,0.8858508197775086,0.750202873193708,-0.8909357752403988,0.5306391434231614,0.5872782511120793,2.173405097533571,-0.45408980931090764,-0.2017942102325793,-0.2406213297814434,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-39.23816964620224
2,Bill Russell,-0.9153375889129021,-0.21571759996657985,2.7782414598885308,-1.2355849042230667,-0.8282474751541212,-1.052105588058231,-0.08651457587984451,3.3882134713903667,-1.3470722670773259,-0.8787708218120759,3.806505932371682,-0.5951675647791297,-0.23853010123236598,3.130093964413793,-0.25087260300212727,-0.45693676673168765,1.2320045338036072,86.59278810930054
3,Bill Sharman,-1.1680843608881715,-0.8790516212863121,-1.1943135246413974,-1.2355849042230667,-0.8282474751541212,-0.49999623556284717,-0.6406466604327983,-1.0056583311500515,-1.3470722670773259,-0.8787708218120759,0.8240889131938693,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-60.246887892365564
4,Bill Walton,-2.0459608709799793,-1.0486182470463836,-0.7448769645389515,-0.7832570507331992,0.3324451489187702,-1.4157455361959987,-0.4524200775596887,0.5578447126899747,-0.17310456285922993,2.0358975329842726,-0.028030235142648657,-0.5951675647791297,-1.4834085818046527,0.11886432776254914,-0.25087260300212727,0.45693676673168765,-0.40428886643264006,-54.46822141057832
5,Billy Cunningham,-1.0372875661287564,-0.7051711674736358,-0.38300668257853154,-1.0986962117195542,-0.7777337729459199,0.11048434943064266,-0.1902193545866046,0.4702197785970857,-1.092835417564136,-0.7879993817349267,-0.45408980931090764,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-88.01827061089057
6,Bob Cousy,-0.5835138785867273,0.7316654069708065,-0.7737843864798131,-1.2355849042230667,-0.8282474751541212,-0.390495034204516,1.3044264675921196,-0.7088059894036097,-1.3470722670773259,-0.8787708218120759,1.6762080615303874,-0.5951675647791297,-0.23853010123236598,0.11886432776254914,-0.25087260300212727,-0.45693676673168765,1.4138149116076346,22.918697652562443
7,Bob McAdoo,0.14328620883811816,-0.7950978907240848,0.23375531985313472,-0.14166570065151848,0.6602229499142096,0.4064674398338956,-0.8963245004805548,0.33053388708487746,-0.01835090433372234,0.8705037542026827,-0.028030235142648657,0.23980520460693774,-0.16444086120790508,0.11886432776254914,-0.25087260300212727,-0.45693676673168765,-0.40428886643264006,-3.990099850762771
8,Bob Pettit,-0.04998272826736509,-0.7901203968172333,0.9275334464338116,-1.2355849042230667,-0.8282474751541212,1.2273921346433505,-0.6252595886593428,1.9110038324470855,-1.3470722670773259,-0.8787708218120759,-0.45408980931090764,-0.5951675647791297,-0.23853010123236598,0.8716717369253602,-0.25087260300212727,-0.45693676673168765,1.2320045338036072,-48.37276547901591
9,Carmelo Anthony,1.2265449908258232,-0.36736524766198636,-0.017760351340346696,0.3011394611859309,-0.05370404129503506,0.47353958861075074,-0.7385949874902109,-0.45263700355789854,0.04901716975321169,-0.1979510752947591,-0.8801493834791666,-0.5951675647791297,-0.23853010123236598,-0.6339430814002618,-0.25087260300212727,-0.45693676673168765,-0.7679096220406949,-34.84932737245443
