,Player,PTS,AST,TRB,STL,BLK,PTS/G,AST/G,TRB/G,STL/G,BLK/G,Championships,new Championship Difficulty,Championship Difficulty,MVP,DPOY,FMVP,All NBA Teams,Rankings,Color,Emoji
62,Reggie Miller,0.5487426621,-0.20211245,-0.9012302467,0.5558714629,-0.4926119871,-0.4219196899,-0.6294628448,-1.223300131,0.2195080307,-0.5947936676,-0.8801493835,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-56.65395845,yellow,🏎️
63,Rick Barry,-0.3882033682,-0.2432597329,-0.69318121,0.07854654381,-0.5262877886,0.5817186874,0.2545344687,-0.3935030148,0.6632559898,-0.4318338958,-0.4540898093,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-60.73184537,gold,🌉⚔️
64,Robert Parish,0.2840186602,-0.85283682,1.321265193,0.2154352363,1.822038101,-1.172464875,-1.322091891,0.2292598024,-0.2530489675,1.054598873,1.250148487,0.4363342804,-0.8316423507,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,69.05181512,green,🍀
65,Russell Westbrook,0.5946100084,1.64686062,-0.0139622959,0.9689182133,-0.4028098499,0.3358219858,1.643062873,-0.2326712639,0.9474302181,-0.4503379214,-0.8801493835,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,-0.4569367667,0.8683837782,-2.368983859,deepskyblue,⚡
66,Sam Jones,-0.7943403459,-0.8432136652,-0.8752768679,-1.235584904,-0.8282474752,-0.5241340104,-0.8188266929,-0.7650409485,-1.347072267,-0.8787708218,3.380446358,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,24.18274831,green,🍀
67,Scottie Pippen,-0.3140262057,0.4595624067,-0.2023880462,1.510521301,0.2347853246,-0.8504640757,0.3178317138,-0.4284184305,1.484454752,0.1817498753,1.676208062,0.8260828003,-0.7350475082,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,54.84275064,red,🐂
68,Shaquille O'Neal,1.113441831,-0.5412457015,1.097179923,-0.3178354962,2.337277863,0.5899399002,-0.8513233213,0.6167034186,-0.4679413963,2.055122475,0.8240889132,3.560311297,1.798699939,0.1188643278,-0.250872603,2.284683834,1.777435667,161.0937387,purple,🎥
69,Stephen Curry,0.06325653629,0.3281565676,-0.901863256,0.4546928641,-0.595884445,0.8744970029,0.870384408,-0.8135521707,0.9806875417,-0.5691599371,0.8240889132,0.8483046124,-0.3433155889,0.8716717369,-0.250872603,0.4569367667,0.8683837782,30.60912591,gold,🌉⚔️
70,Steve Nash,-0.5253970926,1.853260701,-1.01517191,-0.1654724298,-0.7137497501,-1.212343199,1.715020802,-1.227616186,-0.2790322633,-0.7682041967,-0.8801493835,-0.5951675648,-0.2385301012,0.8716717369,-0.250872603,-0.4569367667,0.5047630226,-37.4079881,orange,☀️
71,Tim Duncan,0.7143823075,-0.1742384841,1.400602351,-0.01549003626,2.561783206,-0.2532234146,-0.6065240404,0.6342304786,-0.2824316369,1.983311807,1.250148487,2.100763767,0.2200464449,0.8716717369,-0.250872603,2.284683834,1.959246045,172.9307453,gray,🌵
72,Walt Frazier,-0.7712025154,0.09620535153,-0.764500251,-0.4249657773,-0.7575282921,-0.2832072516,0.7011875912,-0.5487086397,-0.1536020946,-0.7780310272,-0.02803023514,-0.5951675648,-0.2385301012,-0.6339430814,-0.250872603,-0.4569367667,-0.767909622,-57.25823849,orange,🗽
73,Wes Unseld,-1.445874432,-0.3079671537,1.12165628,-0.4880536095,-0.4162801705,-1.917388048,-0.2453609575,1.381862793,-0.4243246094,-0.3867477978,-0.4540898093,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,0.4569367667,-0.5860992442,-56.86649898,darkred,🧙‍♂️
74,Willis Reed,-1.233686916,-1.18267875,-0.008265212747,-1.221300867,-0.8046744141,-0.3120924238,-1.121538309,1.133192736,-1.320379949,-0.8361501395,-0.02803023514,-0.5951675648,-0.2385301012,0.1188643278,-0.250872603,1.3708103,0.141142267,-56.63712235,orange,🗽
75,Wilt Chamberlain,1.729316437,0.04742591124,3.617400708,-1.235584904,-0.8282474752,2.036627491,-0.0358732908,3.493698691,-1.347072267,-0.8787708218,-0.02803023514,-0.5951675648,-0.2385301012,2.377286555,-0.250872603,0.4569367667,1.050194156,25.93728653,blue,7️⃣6️⃣
